Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Brett Johns,0,11,8,1,Bantamweight,U-DEC,3,5:00
,,Montel Jackson,1,26,2,0,,,,
,WIN,Amir Albazi,0,12,1,1,Bantamweight,SUB,1,4:42
,,Malcolm Gordon,0,3,0,0,,Triangle Choke,,
,WIN,Arman Tsarukyan,0,91,1,0,Lightweight,U-DEC,3,5:00
,,Davi Ramos,0,33,0,0,,,,
,WIN,Serghei Spivac,0,73,3,0,Heavyweight,M-DEC,3,5:00
,,Carlos Felipe,0,44,0,0,,,,
,WIN,Robert Whittaker,1,69,2,0,Middleweight,U-DEC,5,5:00
,,Darren Till,0,41,0,0,,,,
,WIN,Mauricio Rua,0,54,2,0,Light Heavyweight,S-DEC,3,5:00
,,Rogerio Nogueira,0,46,0,0,,,,
,WIN,Fabricio Werdum,0,4,1,1,Heavyweight,SUB,1,2:30
,,Alexander Gustafsson,0,11,0,0,,Armbar,,
,WIN,Carla Esparza,0,33,5,1,Women's Strawweight,S-DEC,3,5:00
,,Marina Rodriguez,0,40,0,0,,,,
,WIN,Paul Craig,0,2,0,1,Light Heavyweight,SUB,1,2:06
,,Gadzhimurad Antigulov,0,11,1,0,,Triangle Choke,,
,WIN,Alex Oliveira,1,45,0,0,Welterweight,U-DEC,3,5:00
,,Peter Sobotta,0,29,0,0,,,,
,WIN,Khamzat Chimaev,0,40,1,1,Welterweight,KO/TKO,1,3:09
,,Rhys McKee,0,0,0,0,,Punches,,
,WIN,Francisco Trinaldo,1,30,2,2,Lightweight,KO/TKO,3,1:30
,,Jai Herbert,1,21,0,0,,Punch,,
,NC,Nicolas Dalby,0,20,0,0,Welterweight,Overturned,1,2:48
,NC,Jesse Ronson,1,30,0,1,,Rear Naked Choke,,
,WIN,Tom Aspinall,1,10,0,0,Heavyweight,KO/TKO,1,0:45
,,Jake Collier,0,3,0,0,,Punches,,
,WIN,Movsar Evloev,0,79,0,0,Featherweight,U-DEC,3,5:00
,,Mike Grundy,0,20,6,1,,,,
,WIN,Tanner Boser,0,43,0,0,Heavyweight,KO/TKO,2,2:36
,,Raphael Pessoa,0,12,0,0,,Punch,,
,WIN,Pannie Kianzad,0,103,0,0,Women's Bantamweight,U-DEC,3,5:00
,,Bethe Correia,0,56,1,0,,,,
,WIN,Ramazan Emeev,0,29,4,2,Welterweight,U-DEC,3,5:00
,,Niklas Stolze,0,30,1,0,,,,
,WIN,Nathaniel Wood,0,131,1,0,Bantamweight,U-DEC,3,5:00
,,John Castaneda,0,55,0,0,,,,
,WIN,Derek Brunson,0,88,4,0,Middleweight,KO/TKO,3,0:26
,,Edmen Shahbazyan,0,35,0,0,,Punches,,
,WIN,Jennifer Maia,0,20,0,1,Women's Flyweight,SUB,1,4:29
,,Joanne Calderwood,0,26,1,0,,Armbar,,
,WIN,Vicente Luque,2,64,0,0,Welterweight,KO/TKO,2,4:56
,,Randy Brown,0,61,1,0,,Knee,,
,WIN,Bobby Green,1,115,3,0,Lightweight,U-DEC,3,5:00
,,Lando Vannata,0,54,1,0,,,,
,WIN,Jonathan Martinez,3,79,1,0,Bantamweight,KO/TKO,3,0:57
,,Frankie Saenz,0,39,1,0,,Knee,,
,WIN,Nate Maness,0,21,1,0,Featherweight,U-DEC,3,5:00
,,Johnny Munoz,0,49,2,1,,,,
,WIN,Jamall Emmers,0,103,5,0,Featherweight,U-DEC,3,5:00
,,Vince Cachero,0,76,0,0,,,,
,DRAW,Chris Gutierrez,0,66,1,1,Bantamweight,U-DEC,3,5:00
,DRAW,Cody Durden,0,36,2,1,,,,
,WIN,Derrick Lewis,1,35,1,0,Heavyweight,KO/TKO,2,0:21
,,Aleksei Oleinik,0,2,1,2,,Punches,,
,WIN,Chris Weidman,0,29,5,0,Middleweight,U-DEC,3,5:00
,,Omari Akhmedov,0,33,4,0,,,,
,WIN,Darren Stewart,0,13,0,1,Middleweight,SUB,1,3:41
,,Maki Pitolo,0,12,1,0,,Guillotine Choke,,
,WIN,Yana Kunitskaya,0,43,1,0,Women's Bantamweight,U-DEC,3,5:00
,,Julija Stoliarenko,0,6,0,0,,,,
,WIN,Beneil Dariush,1,36,0,0,Lightweight,KO/TKO,1,4:38
,,Scott Holtzman,0,9,0,0,,Spinning Back Fist,,
,WIN,Tim Means,1,85,2,0,Welterweight,U-DEC,3,5:00
,,Laureano Staropoli,0,71,0,0,,,,
,WIN,Kevin Holland,2,79,0,0,Middleweight,KO/TKO,3,0:32
,,Joaquin Buckley,0,40,0,0,,Punch,,
,WIN,Nasrat Haqparast,0,104,0,0,Lightweight,U-DEC,3,5:00
,,Alexander Munoz,0,37,1,0,,,,
,WIN,Andrew Sanchez,1,28,0,0,Middleweight,KO/TKO,1,4:14
,,Wellington Turman,0,21,0,0,,Punch,,
,WIN,Gavin Tucker,0,87,1,4,Featherweight,SUB,3,1:43
,,Justin Jaynes,1,41,0,1,,Rear Naked Choke,,
,WIN,Youssef Zalal,1,54,3,3,Featherweight,U-DEC,3,5:00
,,Peter Barrett,0,23,0,0,,,,
,WIN,Irwin Rivera,0,36,2,0,Bantamweight,S-DEC,3,5:00
,,Ali AlQaisi,0,44,2,1,,,,
,WIN,Stipe Miocic,1,115,0,0,Heavyweight,U-DEC,5,5:00
,,Daniel Cormier,0,105,1,0,,,,
,WIN,Marlon Vera,0,18,0,0,Bantamweight,KO/TKO,1,4:40
,,Sean O'Malley,0,10,0,0,,Elbows,,
,WIN,Jairzinho Rozenstruik,1,42,0,0,Heavyweight,KO/TKO,2,3:47
,,Junior Dos Santos,0,24,0,0,,Punch,,
,WIN,Daniel Pineda,0,57,1,0,Featherweight,KO/TKO,2,4:37
,,Herbert Burns,0,10,3,0,,Elbows,,
,WIN,Merab Dvalishvili,0,50,2,0,Bantamweight,U-DEC,3,5:00
,,John Dodson,0,27,0,0,,,,
,WIN,Vinc Pichel,0,41,3,0,Lightweight,U-DEC,3,5:00
,,Jim Miller,0,14,2,2,,,,
,WIN,Virna Jandiroba,0,4,1,2,Women's Strawweight,SUB,1,1:44
,,Felice Herrig,0,1,0,0,,Armbar,,
,WIN,Danny Chavez,0,49,4,0,Featherweight,U-DEC,3,5:00
,,TJ Brown,0,43,0,0,,,,
,WIN,Livinha Souza,0,46,1,0,Women's Strawweight,U-DEC,3,5:00
,,Ashley Yoder,0,32,0,0,,,,
,WIN,Chris Daukaus,2,37,0,0,Heavyweight,KO/TKO,1,4:28
,,Parker Porter,0,17,0,0,,Knee,,
,WIN,Kai Kamaka,0,114,5,0,Featherweight,U-DEC,3,5:00
,,Tony Kelley,0,114,0,0,,,,
,WIN,Frankie Edgar,0,135,2,0,Bantamweight,S-DEC,5,5:00
,,Pedro Munhoz,0,166,0,0,,,,
,WIN,Mike Rodriguez,1,21,0,0,Light Heavyweight,KO/TKO,1,2:17
,,Marcin Prachnio,0,14,0,0,,Elbow,,
,WIN,Joe Solecki,0,13,0,1,Lightweight,SUB,1,3:51
,,Austin Hubbard,0,9,0,0,,Rear Naked Choke,,
,WIN,Shana Dobson,0,24,2,0,Women's Flyweight,KO/TKO,2,1:38
,,Mariya Agapova,0,22,2,0,,Punches,,
,WIN,Daniel Rodriguez,3,15,0,0,Welterweight,KO/TKO,1,2:24
,,Dwight Grant,1,30,0,0,,Punches,,
,WIN,Amanda Lemos,1,83,2,0,Women's Strawweight,U-DEC,3,5:00
,,Inoue Mizuki,0,57,0,0,,,,
,WIN,Jordan Wright,1,15,0,0,Light Heavyweight,KO/TKO,1,1:31
,,Ike Villanueva,0,7,0,0,,,,
,WIN,Matthew Semelsberger,1,118,2,1,Welterweight,U-DEC,3,5:00
,,Carlton Minus,0,77,0,0,,,,
,NC,Timur Valiev,1,66,0,0,Catch Weight,Overturned,2,1:59
,NC,Trevin Jones,1,26,1,0,,Punch,,
,WIN,Aleksandar Rakic,1,44,0,0,Light Heavyweight,U-DEC,3,5:00
,,Anthony Smith,0,9,0,0,,,,
,WIN,Neil Magny,0,62,4,0,Welterweight,U-DEC,3,5:00
,,Robbie Lawler,0,26,0,0,,,,
,WIN,Alexa Grasso,0,88,1,0,Women's Flyweight,U-DEC,3,5:00
,,Ji Yeon Kim,0,68,0,0,,,,
,WIN,Ricardo Lamas,0,104,5,0,Featherweight,U-DEC,3,5:00
,,Bill Algeo,0,89,1,0,,,,
,WIN,Impa Kasanganay,0,85,0,0,Middleweight,U-DEC,3,5:00
,,Maki Pitolo,0,71,0,0,,,,
,WIN,Zak Cummings,1,54,0,0,Middleweight,U-DEC,3,5:00
,,Alessio Di Chirico,0,53,0,0,,,,
,WIN,Alex Caceres,0,18,0,1,Featherweight,SUB,1,3:38
,,Austin Springer,0,14,0,0,,Rear Naked Choke,,
,WIN,Sean Brady,0,34,2,2,Welterweight,SUB,2,1:47
,,Christian Aguilera,0,16,0,0,,Guillotine Choke,,
,WIN,Polyana Viana,0,9,0,1,Women's Strawweight,SUB,1,1:53
,,Emily Whitmire,0,2,0,0,,Armbar,,
,WIN,Mallory Martin,0,22,1,1,Women's Strawweight,SUB,2,1:33
,,Hannah Cifers,1,49,0,0,,Rear Naked Choke,,
,WIN,Alistair Overeem,0,92,3,0,Heavyweight,KO/TKO,5,0:26
,,Augusto Sakai,0,99,0,0,,Elbows,,
,WIN,Ovince Saint Preux,1,33,0,0,Light Heavyweight,KO/TKO,2,4:07
,,Alonzo Menifield,0,19,0,0,,Punch,,
,WIN,Michel Pereira,0,88,1,1,Welterweight,SUB,3,4:39
,,Zelim Imadaev,0,23,0,0,,Rear Naked Choke,,
,WIN,Andre Muniz,0,4,0,2,Middleweight,SUB,1,2:42
,,Bartosz Fabinski,0,5,1,0,,Armbar,,
,WIN,Brian Kelleher,0,1,0,1,Featherweight,SUB,1,0:39
,,Ray Rodriguez,0,1,1,0,,Guillotine Choke,,
,WIN,Viviane Araujo,0,82,0,0,Women's Flyweight,U-DEC,3,5:00
,,Montana De La Rosa,0,85,1,0,,,,
,WIN,Hunter Azure,1,42,5,0,Bantamweight,U-DEC,3,5:00
,,Cole Smith,0,31,2,3,,,,
,WIN,Michelle Waterson,0,128,1,0,Women's Strawweight,S-DEC,5,5:00
,,Angela Hill,0,131,0,0,,,,
,WIN,Ottman Azaitar,0,16,0,0,Lightweight,KO/TKO,1,1:33
,,Khama Worthy,0,1,0,0,,Punches,,
,WIN,Roxanne Modafferi,0,60,4,0,Women's Flyweight,U-DEC,3,5:00
,,Andrea Lee,0,97,3,0,,,,
,WIN,Ed Herman,0,40,2,1,Light Heavyweight,SUB,3,2:41
,,Mike Rodriguez,2,89,0,0,,Kimura,,
,WIN,Bobby Green,0,61,4,0,Lightweight,U-DEC,3,5:00
,,Alan Patrick,0,19,1,0,,,,
,WIN,Billy Quarantillo,1,79,2,0,Featherweight,KO/TKO,3,0:07
,,Kyle Nelson,0,56,0,0,,Punch,,
,WIN,Sijara Eubanks,0,53,3,3,Women's Bantamweight,U-DEC,3,5:00
,,Julia Avila,0,34,1,0,,,,
,WIN,Kevin Croom,1,5,0,1,Lightweight,SUB,1,0:31
,,Roosevelt Roberts,0,2,0,0,,Guillotine Choke,,
,WIN,Alexandr Romanov,0,55,4,2,Heavyweight,SUB,2,4:22
,,Roque Martinez,0,7,0,0,,Arm Triangle,,
,WIN,Jalin Turner,2,66,1,1,Catch Weight,SUB,2,4:20
,,Brok Weaver,0,56,1,0,,Rear Naked Choke,,
,WIN,Bryan Barberena,0,63,0,2,Welterweight,U-DEC,3,5:00
,,Anthony Ivy,0,36,5,0,,,,
,WIN,Sabina Mazo,1,131,0,1,Women's Flyweight,SUB,3,3:57
,,Justine Kish,0,93,1,0,,Rear Naked Choke,,
,WIN,Colby Covington,0,78,3,0,Welterweight,KO/TKO,5,1:19
,,Tyron Woodley,0,34,1,0,,,,
,DRAW,Donald Cerrone,0,113,0,0,Welterweight,M-DEC,3,5:00
,DRAW,Niko Price,0,150,0,0,,,,
,WIN,Khamzat Chimaev,1,4,0,0,Middleweight,KO/TKO,1,0:17
,,Gerald Meerschaert,0,0,0,0,,Punch,,
,WIN,Johnny Walker,0,26,0,0,Light Heavyweight,KO/TKO,1,2:43
,,Ryan Spann,2,7,2,0,,Punches,,
,WIN,Mackenzie Dern,0,9,0,5,Women's Strawweight,SUB,1,3:44
,,Randa Markos,0,3,0,0,,Armbar,,
,WIN,Kevin Holland,0,74,0,0,Middleweight,S-DEC,3,5:00
,,Darren Stewart,0,57,3,0,,,,
,WIN,David Dvorak,0,68,0,0,Flyweight,U-DEC,3,5:00
,,Jordan Espinosa,0,50,0,0,,,,
,WIN,Damon Jackson,0,12,0,7,Featherweight,SUB,3,1:21
,,Mirsad Bektic,0,13,7,0,,Guillotine Choke,,
,WIN,Mayra Bueno Silva,0,2,0,1,Women's Flyweight,SUB,1,2:29
,,Mara Romero Borella,0,6,1,0,,Armbar,,
,WIN,Jessica-Rose Clark,0,76,1,0,Women's Bantamweight,KO/TKO,3,4:21
,,Sarah Alpar,0,12,2,0,,Knee,,
,WIN,Darrick Minner,0,15,0,1,Featherweight,SUB,1,0:52
,,TJ Laramie,0,0,0,0,,Guillotine Choke,,
,WIN,Randy Costa,1,4,0,0,Bantamweight,KO/TKO,1,0:41
,,Journey Newson,0,1,0,0,,Kick,,
,WIN,Andre Ewell,0,123,0,0,Bantamweight,S-DEC,3,5:00
,,Irwin Rivera,0,81,1,0,,,,
,WIN,Tyson Nam,1,36,0,0,Bantamweight,KO/TKO,2,0:34
,,Jerome Rivera,0,30,0,0,,Punches,,
,WIN,Israel Adesanya,1,55,0,0,Middleweight,KO/TKO,2,3:59
,,Paulo Costa,0,12,0,0,,Punch,,
,WIN,Jan Blachowicz,1,41,0,0,Light Heavyweight,KO/TKO,2,4:36
,,Dominick Reyes,0,21,0,0,,Punch,,
,WIN,Brandon Royval,2,39,0,1,Flyweight,SUB,2,0:48
,,Kai Kara-France,1,22,0,0,,Guillotine Choke,,
,WIN,Ketlen Vieira,0,68,2,0,Women's Bantamweight,U-DEC,3,5:00
,,Sijara Eubanks,0,69,0,0,,,,
,WIN,Hakeem Dawodu,0,69,0,0,Featherweight,S-DEC,3,5:00
,,Zubaira Tukhugov,0,35,1,0,,,,
,WIN,Brad Riddell,0,67,1,0,Lightweight,U-DEC,3,5:00
,,Alex Da Silva,0,54,3,1,,,,
,WIN,Jake Matthews,1,72,1,0,Welterweight,U-DEC,3,5:00
,,Diego Sanchez,0,25,0,0,,,,
,WIN,Ludovit Klein,1,9,0,0,Featherweight,KO/TKO,1,1:16
,,Shane Young,0,4,0,0,,Kick,,
,WIN,William Knight,0,38,4,1,Light Heavyweight,U-DEC,3,5:00
,,Aleksa Camur,0,17,1,0,,,,
,WIN,Juan Espino,0,10,5,1,Heavyweight,SUB,1,3:48
,,Jeff Hughes,0,0,0,0,,Neck Crank,,
,WIN,Danilo Marques,0,16,4,0,Light Heavyweight,U-DEC,3,5:00
,,Khadis Ibragimov,0,19,0,1,,,,
,WIN,Holly Holm,0,154,5,0,Women's Bantamweight,U-DEC,5,5:00
,,Irene Aldana,0,69,0,0,,,,
,WIN,Carlos Felipe,0,78,0,0,Heavyweight,U-DEC,3,5:00
,,Yorgan De Castro,0,48,0,0,,,,
,WIN,Germaine de Randamie,0,37,0,2,Women's Bantamweight,SUB,3,3:25
,,Julianna Pena,0,27,3,0,,Guillotine Choke,,
,WIN,Kyler Phillips,0,32,2,0,Bantamweight,KO/TKO,2,0:44
,,Cameron Else,0,11,0,0,,Elbows,,
,WIN,Dusko Todorovic,0,85,1,0,Middleweight,KO/TKO,2,3:15
,,Dequan Townsend,0,13,0,0,,Punches,,
,WIN,Carlos Condit,1,88,0,0,Welterweight,U-DEC,3,5:00
,,Court McGee,0,84,0,0,,,,
,DRAW,Charles Jourdain,0,44,0,3,Featherweight,S-DEC,3,5:00
,DRAW,Josh Culibao,1,46,0,0,,,,
,WIN,Nassourdine Imavov,0,68,1,4,Middleweight,U-DEC,3,5:00
,,Jordan Williams,0,30,0,0,,,,
,WIN,Loma Lookboonmee,0,80,0,0,Women's Strawweight,U-DEC,3,5:00
,,Jinh Yu Frey,0,26,1,0,,,,
,WIN,Casey Kenney,0,109,0,0,Bantamweight,U-DEC,3,5:00
,,Heili Alateng,0,46,0,0,,,,
,WIN,Luigi Vendramini,1,13,0,0,Lightweight,KO/TKO,1,1:12
,,Jessin Ayari,0,2,0,0,,Kick,,
,WIN,Cory Sandhagen,1,38,0,0,Bantamweight,KO/TKO,2,1:03
,,Marlon Moraes,0,14,1,0,,Kick,,
,WIN,Edson Barboza,2,32,0,1,Featherweight,U-DEC,3,5:00
,,Makwan Amirkhani,0,11,3,0,,,,
,WIN,Marcin Tybura,0,94,1,0,Heavyweight,U-DEC,3,5:00
,,Ben Rothwell,0,89,0,0,,,,
,WIN,Dricus Du Plessis,1,26,0,0,Middleweight,KO/TKO,1,3:22
,,Markus Perez,0,14,0,0,,Punch,,
,WIN,Tom Aspinall,0,16,1,0,Heavyweight,KO/TKO,1,1:35
,,Alan Baudot,0,3,0,0,,Punches,,
,WIN,Ilia Topuria,0,13,5,5,Featherweight,U-DEC,3,5:00
,,Youssef Zalal,0,17,0,1,,,,
,WIN,Tom Breese,1,17,0,0,Middleweight,KO/TKO,1,1:42
,,KB Bhullar,0,2,0,0,,Punch,,
,WIN,Chris Daukaus,2,13,0,0,Heavyweight,KO/TKO,1,0:45
,,Rodrigo Nascimento,0,1,0,0,,Punches,,
,WIN,Joaquin Buckley,1,29,1,0,Middleweight,KO/TKO,2,2:03
,,Impa Kasanganay,0,28,0,0,,Spinning Back Kick,,
,WIN,Tony Kelley,0,23,0,4,Bantamweight,U-DEC,3,5:00
,,Ali AlQaisi,0,29,5,1,,,,
,WIN,Giga Chikadze,1,65,0,0,Featherweight,U-DEC,3,5:00
,,Omar Morales,0,34,0,0,,,,
,WIN,Tracy Cortez,0,20,3,0,Women's Bantamweight,U-DEC,3,5:00
,,Stephanie Egger,0,10,1,0,,,,
,WIN,Tagir Ulanbekov,0,46,5,0,Flyweight,U-DEC,3,5:00
,,Bruno Silva,0,47,4,0,,,,
,WIN,Brian Ortega,2,127,3,0,Featherweight,U-DEC,5,5:00
,,Chan Sung Jung,0,62,0,0,,,,
,WIN,Jessica Andrade,1,28,2,0,Women's Flyweight,KO/TKO,1,4:55
,,Katlyn Chookagian,0,19,0,0,,Punch,,
,WIN,Jimmy Crute,2,17,0,0,Light Heavyweight,KO/TKO,1,2:01
,,Modestas Bukauskas,0,7,0,0,,Punches,,
,WIN,James Krause,0,94,0,0,Welterweight,U-DEC,3,5:00
,,Claudio Silva,0,64,2,0,,,,
,WIN,Jonathan Martinez,0,73,0,0,Featherweight,U-DEC,3,5:00
,,Thomas Almeida,0,64,0,0,,,,
,WIN,Guram Kutateladze,1,37,0,0,Lightweight,S-DEC,3,5:00
,,Mateusz Gamrot,0,52,5,0,,,,
,WIN,Gillian Robertson,0,57,3,0,Women's Flyweight,U-DEC,3,5:00
,,Poliana Botelho,0,22,0,0,,,,
,WIN,Junyong Park,0,10,4,0,Middleweight,U-DEC,3,5:00
,,John Phillips,0,5,0,0,,,,
,WIN,Fares Ziam,0,47,1,0,Lightweight,U-DEC,3,5:00
,,Jamie Mullarkey,0,20,5,0,,,,
,WIN,Maxim Grishin,0,34,1,0,Light Heavyweight,KO/TKO,2,4:58
,,Gadzhimurad Antigulov,0,12,1,0,,Punches,,
,WIN,Said Nurmagomedov,0,18,0,0,Bantamweight,KO/TKO,1,0:51
,,Mark Striegl,0,3,0,0,,Punches,,
,WIN,Khabib Nurmagomedov,0,26,2,1,Lightweight,SUB,2,1:34
,,Justin Gaethje,0,29,0,0,,Triangle Choke,,
,WIN,Robert Whittaker,1,69,0,0,Middleweight,U-DEC,3,5:00
,,Jared Cannonier,0,53,0,0,,,,
,WIN,Alexander Volkov,0,45,0,0,Heavyweight,KO/TKO,2,1:15
,,Walt Harris,0,16,0,0,,Kick,,
,WIN,Phillip Hawes,1,7,0,0,Middleweight,KO/TKO,1,0:18
,,Jacob Malkoun,0,0,0,0,,Punches,,
,WIN,Lauren Murphy,0,22,1,1,Women's Flyweight,SUB,2,3:31
,,Liliya Shakirova,0,23,0,0,,Rear Naked Choke,,
,WIN,Magomed Ankalaev,2,21,0,0,Light Heavyweight,KO/TKO,1,4:19
,,Ion Cutelaba,0,11,0,0,,Punch,,
,WIN,Tai Tuivasa,1,27,0,0,Heavyweight,KO/TKO,1,4:59
,,Stefan Struve,0,13,0,0,,Punches,,
,WIN,Casey Kenney,0,123,2,0,Catch Weight,U-DEC,3,5:00
,,Nathaniel Wood,0,136,0,0,,,,
,WIN,Shavkat Rakhmonov,0,13,0,1,Welterweight,SUB,1,4:40
,,Alex Oliveira,0,9,0,0,,Guillotine Choke,,
,DRAW,Da-Un Jung,1,56,0,0,Light Heavyweight,S-DEC,3,5:00
,DRAW,Sam Alvey,0,59,0,0,,,,
,WIN,Miranda Maverick,0,49,0,0,Women's Flyweight,KO/TKO,1,5:00
,,Liana Jojua,0,30,0,0,,,,
,WIN,Joel Alvarez,0,4,0,2,Lightweight,SUB,1,3:00
,,Alexander Yakovlev,0,1,1,0,,Armbar,,
,WIN,Uriah Hall,2,60,0,0,Middleweight,KO/TKO,4,1:24
,,Anderson Silva,0,53,0,0,,Punches,,
,WIN,Bryce Mitchell,0,46,7,1,Featherweight,U-DEC,3,5:00
,,Andre Fili,0,27,0,0,,,,
,WIN,Greg Hardy,1,46,1,0,Heavyweight,KO/TKO,2,1:12
,,Maurice Greene,0,17,0,0,,Punches,,
,WIN,Kevin Holland,0,11,2,0,Middleweight,SUB,1,2:39
,,Charlie Ontiveros,0,2,0,0,,Injury,,
,WIN,Thiago Moises,0,42,2,1,Lightweight,U-DEC,3,5:00
,,Bobby Green,0,85,2,0,,,,
,WIN,Alexander Hernandez,1,29,0,0,Lightweight,KO/TKO,1,1:46
,,Chris Gruetzemacher,0,8,0,0,,Punches,,
,WIN,Adrian Yanez,1,17,0,0,Bantamweight,KO/TKO,1,2:46
,,Victor Rodriguez,0,6,0,0,,Kick,,
,WIN,Sean Strickland,0,106,0,0,Middleweight,U-DEC,3,5:00
,,Jack Marshman,0,48,0,0,,,,
,WIN,Jason Witt,0,20,2,1,Welterweight,SUB,2,2:09
,,Cole Williams,0,1,0,0,,Arm Triangle,,
,WIN,Dustin Jacoby,2,22,0,0,Light Heavyweight,KO/TKO,1,2:38
,,Justin Ledet,0,10,0,0,,Punch,,
,WIN,Miles Johns,1,48,0,0,Bantamweight,KO/TKO,3,2:51
,,Kevin Natividad,0,33,0,0,,Punch,,
,WIN,Glover Teixeira,0,46,4,2,Light Heavyweight,SUB,3,1:49
,,Thiago Santos,1,40,0,0,,Rear Naked Choke,,
,WIN,Andrei Arlovski,0,34,0,0,Heavyweight,U-DEC,3,5:00
,,Tanner Boser,0,68,0,0,,,,
,WIN,Raoni Barcelos,0,120,2,1,Bantamweight,U-DEC,3,5:00
,,Khalid Taha,0,49,0,0,,,,
,WIN,Giga Chikadze,1,8,0,0,Featherweight,KO/TKO,1,3:51
,,Jamey Simmons,0,2,0,0,,Kick,,
,WIN,Yan Xiaonan,0,74,0,0,Women's Strawweight,U-DEC,3,5:00
,,Claudia Gadelha,0,36,2,0,,,,
,WIN,Trevin Giles,2,38,1,0,Middleweight,KO/TKO,3,1:26
,,Bevon Lewis,0,26,0,0,,Punches,,
,WIN,Alexandr Romanov,0,6,2,1,Heavyweight,SUB,1,4:48
,,Marcos Rogerio de Lima,0,18,0,0,,Forearm Choke,,
,WIN,Darren Elkins,0,32,7,1,Featherweight,SUB,3,2:22
,,Eduardo Garagorri,0,36,0,0,,Rear Naked Choke,,
,WIN,Max Griffin,0,74,0,0,Welterweight,KO/TKO,3,2:03
,,Ramiz Brahimaj,0,45,0,0,,Elbow,,
,WIN,Gustavo Lopez,0,26,2,1,Bantamweight,SUB,1,2:43
,,Anthony Birchak,0,17,0,0,,Rear Naked Choke,,
,WIN,Rafael Dos Anjos,0,92,6,0,Lightweight,S-DEC,5,5:00
,,Paul Felder,0,98,1,0,,,,
,WIN,Khaos Williams,1,5,0,0,Welterweight,KO/TKO,1,0:30
,,Abdul Razak Alhassan,0,2,0,0,,Punch,,
,WIN,Ashley Yoder,0,26,2,3,Women's Strawweight,U-DEC,3,5:00
,,Miranda Granger,0,33,0,0,,,,
,WIN,Sean Strickland,1,94,1,0,Catch Weight,KO/TKO,2,1:32
,,Brendan Allen,0,51,0,0,,Punches,,
,WIN,Cory McKenna,0,57,0,0,Women's Strawweight,U-DEC,3,5:00
,,Kay Hansen,0,67,2,2,,,,
,WIN,Kanako Murata,0,29,4,2,Women's Strawweight,U-DEC,3,5:00
,,Randa Markos,0,29,0,0,,,,
,WIN,Tony Gravely,0,49,7,0,Bantamweight,S-DEC,3,5:00
,,Geraldo de Freitas,0,76,1,0,,,,
,WIN,Alex Morono,0,176,3,0,Welterweight,U-DEC,3,5:00
,,Rhys McKee,0,124,0,0,,,,
,WIN,Don'Tale Mayes,0,59,1,0,Heavyweight,U-DEC,3,5:00
,,Roque Martinez,0,58,1,0,,,,