,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
During_COVID,,Felice Herrig,0,1,0,0,,Armbar,,,,,,,
During_COVID,WIN,Danny Chavez,0,49,4,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,TJ Brown,0,43,0,0,,,,,,,,,
During_COVID,WIN,Livinha Souza,0,46,1,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Ashley Yoder,0,32,0,0,,,,,,,,,
During_COVID,WIN,Chris Daukaus,2,37,0,0,Heavyweight,KO/TKO,1,4:28,,,,,
During_COVID,,Parker Porter,0,17,0,0,,Knee,,,,,,,
During_COVID,WIN,Kai Kamaka,0,114,5,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Tony Kelley,0,114,0,0,,,,,,,,,
During_COVID,WIN,Frankie Edgar,0,135,2,0,Bantamweight,S-DEC,5,5:00,,,,,
During_COVID,,Pedro Munhoz,0,166,0,0,,,,,,,,,
During_COVID,WIN,Mike Rodriguez,1,21,0,0,Light Heavyweight,KO/TKO,1,2:17,,,,,
During_COVID,,Marcin Prachnio,0,14,0,0,,Elbow,,,,,,,
During_COVID,WIN,Joe Solecki,0,13,0,1,Lightweight,SUB,1,3:51,,,,,
During_COVID,,Austin Hubbard,0,9,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Shana Dobson,0,24,2,0,Women's Flyweight,KO/TKO,2,1:38,,,,,
During_COVID,,Mariya Agapova,0,22,2,0,,Punches,,,,,,,
During_COVID,WIN,Daniel Rodriguez,3,15,0,0,Welterweight,KO/TKO,1,2:24,,,,,
During_COVID,,Dwight Grant,1,30,0,0,,Punches,,,,,,,
During_COVID,WIN,Amanda Lemos,1,83,2,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Inoue Mizuki,0,57,0,0,,,,,,,,,
During_COVID,WIN,Jordan Wright,1,15,0,0,Light Heavyweight,KO/TKO,1,1:31,,,,,
During_COVID,,Ike Villanueva,0,7,0,0,,,,,,,,,
During_COVID,WIN,Matthew Semelsberger,1,118,2,1,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Carlton Minus,0,77,0,0,,,,,,,,,
During_COVID,NC,Timur Valiev,1,66,0,0,Catch Weight,Overturned,2,1:59,,,,,
During_COVID,NC,Trevin Jones,1,26,1,0,,Punch,,,,,,,
During_COVID,WIN,Aleksandar Rakic,1,44,0,0,Light Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Anthony Smith,0,9,0,0,,,,,,,,,
During_COVID,WIN,Neil Magny,0,62,4,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Robbie Lawler,0,26,0,0,,,,,,,,,
During_COVID,WIN,Alexa Grasso,0,88,1,0,Women's Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Ji Yeon Kim,0,68,0,0,,,,,,,,,
During_COVID,WIN,Ricardo Lamas,0,104,5,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Bill Algeo,0,89,1,0,,,,,,,,,
During_COVID,WIN,Impa Kasanganay,0,85,0,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Maki Pitolo,0,71,0,0,,,,,,,,,
During_COVID,WIN,Zak Cummings,1,54,0,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Alessio Di Chirico,0,53,0,0,,,,,,,,,
During_COVID,WIN,Alex Caceres,0,18,0,1,Featherweight,SUB,1,3:38,,,,,
During_COVID,,Austin Springer,0,14,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Sean Brady,0,34,2,2,Welterweight,SUB,2,1:47,,,,,
During_COVID,,Christian Aguilera,0,16,0,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Polyana Viana,0,9,0,1,Women's Strawweight,SUB,1,1:53,,,,,
During_COVID,,Emily Whitmire,0,2,0,0,,Armbar,,,,,,,
During_COVID,WIN,Mallory Martin,0,22,1,1,Women's Strawweight,SUB,2,1:33,,,,,
During_COVID,,Hannah Cifers,1,49,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Alistair Overeem,0,92,3,0,Heavyweight,KO/TKO,5,0:26,,,,,
During_COVID,,Augusto Sakai,0,99,0,0,,Elbows,,,,,,,
During_COVID,WIN,Ovince Saint Preux,1,33,0,0,Light Heavyweight,KO/TKO,2,4:07,,,,,
During_COVID,,Alonzo Menifield,0,19,0,0,,Punch,,,,,,,
During_COVID,WIN,Michel Pereira,0,88,1,1,Welterweight,SUB,3,4:39,,,,,
During_COVID,,Zelim Imadaev,0,23,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Andre Muniz,0,4,0,2,Middleweight,SUB,1,2:42,,,,,
During_COVID,,Bartosz Fabinski,0,5,1,0,,Armbar,,,,,,,
During_COVID,WIN,Brian Kelleher,0,1,0,1,Featherweight,SUB,1,0:39,,,,,
During_COVID,,Ray Rodriguez,0,1,1,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Viviane Araujo,0,82,0,0,Women's Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Montana De La Rosa,0,85,1,0,,,,,,,,,
During_COVID,WIN,Hunter Azure,1,42,5,0,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Cole Smith,0,31,2,3,,,,,,,,,
During_COVID,WIN,Michelle Waterson,0,128,1,0,Women's Strawweight,S-DEC,5,5:00,,,,,
During_COVID,,Angela Hill,0,131,0,0,,,,,,,,,
During_COVID,WIN,Ottman Azaitar,0,16,0,0,Lightweight,KO/TKO,1,1:33,,,,,
During_COVID,,Khama Worthy,0,1,0,0,,Punches,,,,,,,
During_COVID,WIN,Roxanne Modafferi,0,60,4,0,Women's Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Andrea Lee,0,97,3,0,,,,,,,,,
During_COVID,WIN,Ed Herman,0,40,2,1,Light Heavyweight,SUB,3,2:41,,,,,
During_COVID,,Mike Rodriguez,2,89,0,0,,Kimura,,,,,,,
During_COVID,WIN,Bobby Green,0,61,4,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Alan Patrick,0,19,1,0,,,,,,,,,
During_COVID,WIN,Billy Quarantillo,1,79,2,0,Featherweight,KO/TKO,3,0:07,,,,,
During_COVID,,Kyle Nelson,0,56,0,0,,Punch,,,,,,,
During_COVID,WIN,Sijara Eubanks,0,53,3,3,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Julia Avila,0,34,1,0,,,,,,,,,
During_COVID,WIN,Kevin Croom,1,5,0,1,Lightweight,SUB,1,0:31,,,,,
During_COVID,,Roosevelt Roberts,0,2,0,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Alexandr Romanov,0,55,4,2,Heavyweight,SUB,2,4:22,,,,,
During_COVID,,Roque Martinez,0,7,0,0,,Arm Triangle,,,,,,,
During_COVID,WIN,Jalin Turner,2,66,1,1,Catch Weight,SUB,2,4:20,,,,,
During_COVID,,Brok Weaver,0,56,1,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Bryan Barberena,0,63,0,2,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Anthony Ivy,0,36,5,0,,,,,,,,,
During_COVID,WIN,Sabina Mazo,1,131,0,1,Women's Flyweight,SUB,3,3:57,,,,,
During_COVID,,Justine Kish,0,93,1,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Colby Covington,0,78,3,0,Welterweight,KO/TKO,5,1:19,,,,,
During_COVID,,Tyron Woodley,0,34,1,0,,,,,,,,,
During_COVID,DRAW,Donald Cerrone,0,113,0,0,Welterweight,M-DEC,3,5:00,,,,,
During_COVID,DRAW,Niko Price,0,150,0,0,,,,,,,,,
During_COVID,WIN,Khamzat Chimaev,1,4,0,0,Middleweight,KO/TKO,1,0:17,,,,,
During_COVID,,Gerald Meerschaert,0,0,0,0,,Punch,,,,,,,
During_COVID,WIN,Johnny Walker,0,26,0,0,Light Heavyweight,KO/TKO,1,2:43,,,,,
During_COVID,,Ryan Spann,2,7,2,0,,Punches,,,,,,,
During_COVID,WIN,Mackenzie Dern,0,9,0,5,Women's Strawweight,SUB,1,3:44,,,,,
During_COVID,,Randa Markos,0,3,0,0,,Armbar,,,,,,,
During_COVID,WIN,Kevin Holland,0,74,0,0,Middleweight,S-DEC,3,5:00,,,,,
During_COVID,,Darren Stewart,0,57,3,0,,,,,,,,,
During_COVID,WIN,David Dvorak,0,68,0,0,Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Jordan Espinosa,0,50,0,0,,,,,,,,,
During_COVID,WIN,Damon Jackson,0,12,0,7,Featherweight,SUB,3,1:21,,,,,
During_COVID,,Mirsad Bektic,0,13,7,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Mayra Bueno Silva,0,2,0,1,Women's Flyweight,SUB,1,2:29,,,,,
During_COVID,,Mara Romero Borella,0,6,1,0,,Armbar,,,,,,,
During_COVID,WIN,Jessica-Rose Clark,0,76,1,0,Women's Bantamweight,KO/TKO,3,4:21,,,,,
During_COVID,,Sarah Alpar,0,12,2,0,,Knee,,,,,,,
During_COVID,WIN,Darrick Minner,0,15,0,1,Featherweight,SUB,1,0:52,,,,,
During_COVID,,TJ Laramie,0,0,0,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Randy Costa,1,4,0,0,Bantamweight,KO/TKO,1,0:41,,,,,
During_COVID,,Journey Newson,0,1,0,0,,Kick,,,,,,,
During_COVID,WIN,Andre Ewell,0,123,0,0,Bantamweight,S-DEC,3,5:00,,,,,
During_COVID,,Irwin Rivera,0,81,1,0,,,,,,,,,
During_COVID,WIN,Tyson Nam,1,36,0,0,Bantamweight,KO/TKO,2,0:34,,,,,
During_COVID,,Jerome Rivera,0,30,0,0,,Punches,,,,,,,
During_COVID,WIN,Israel Adesanya,1,55,0,0,Middleweight,KO/TKO,2,3:59,,,,,
During_COVID,,Paulo Costa,0,12,0,0,,Punch,,,,,,,
During_COVID,WIN,Jan Blachowicz,1,41,0,0,Light Heavyweight,KO/TKO,2,4:36,,,,,
During_COVID,,Dominick Reyes,0,21,0,0,,Punch,,,,,,,
During_COVID,WIN,Brandon Royval,2,39,0,1,Flyweight,SUB,2,0:48,,,,,
During_COVID,,Kai Kara-France,1,22,0,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Ketlen Vieira,0,68,2,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Sijara Eubanks,0,69,0,0,,,,,,,,,
During_COVID,WIN,Hakeem Dawodu,0,69,0,0,Featherweight,S-DEC,3,5:00,,,,,
During_COVID,,Zubaira Tukhugov,0,35,1,0,,,,,,,,,
During_COVID,WIN,Brad Riddell,0,67,1,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Alex Da Silva,0,54,3,1,,,,,,,,,
During_COVID,WIN,Jake Matthews,1,72,1,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Diego Sanchez,0,25,0,0,,,,,,,,,
During_COVID,WIN,Ludovit Klein,1,9,0,0,Featherweight,KO/TKO,1,1:16,,,,,
During_COVID,,Shane Young,0,4,0,0,,Kick,,,,,,,
During_COVID,WIN,William Knight,0,38,4,1,Light Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Aleksa Camur,0,17,1,0,,,,,,,,,
During_COVID,WIN,Juan Espino,0,10,5,1,Heavyweight,SUB,1,3:48,,,,,
During_COVID,,Jeff Hughes,0,0,0,0,,Neck Crank,,,,,,,
During_COVID,WIN,Danilo Marques,0,16,4,0,Light Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Khadis Ibragimov,0,19,0,1,,,,,,,,,
During_COVID,WIN,Holly Holm,0,154,5,0,Women's Bantamweight,U-DEC,5,5:00,,,,,
During_COVID,,Irene Aldana,0,69,0,0,,,,,,,,,
During_COVID,WIN,Carlos Felipe,0,78,0,0,Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Yorgan De Castro,0,48,0,0,,,,,,,,,
During_COVID,WIN,Germaine de Randamie,0,37,0,2,Women's Bantamweight,SUB,3,3:25,,,,,
During_COVID,,Julianna Pena,0,27,3,0,,Guillotine Choke,,,,,,,
During_COVID,WIN,Kyler Phillips,0,32,2,0,Bantamweight,KO/TKO,2,0:44,,,,,
During_COVID,,Cameron Else,0,11,0,0,,Elbows,,,,,,,
During_COVID,WIN,Dusko Todorovic,0,85,1,0,Middleweight,KO/TKO,2,3:15,,,,,
During_COVID,,Dequan Townsend,0,13,0,0,,Punches,,,,,,,
During_COVID,WIN,Carlos Condit,1,88,0,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Court McGee,0,84,0,0,,,,,,,,,
During_COVID,DRAW,Charles Jourdain,0,44,0,3,Featherweight,S-DEC,3,5:00,,,,,
During_COVID,DRAW,Josh Culibao,1,46,0,0,,,,,,,,,
During_COVID,WIN,Nassourdine Imavov,0,68,1,4,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Jordan Williams,0,30,0,0,,,,,,,,,
During_COVID,WIN,Loma Lookboonmee,0,80,0,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Jinh Yu Frey,0,26,1,0,,,,,,,,,
During_COVID,WIN,Casey Kenney,0,109,0,0,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Heili Alateng,0,46,0,0,,,,,,,,,
During_COVID,WIN,Luigi Vendramini,1,13,0,0,Lightweight,KO/TKO,1,1:12,,,,,
During_COVID,,Jessin Ayari,0,2,0,0,,Kick,,,,,,,
During_COVID,WIN,Cory Sandhagen,1,38,0,0,Bantamweight,KO/TKO,2,1:03,,,,,
During_COVID,,Marlon Moraes,0,14,1,0,,Kick,,,,,,,
During_COVID,WIN,Edson Barboza,2,32,0,1,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Makwan Amirkhani,0,11,3,0,,,,,,,,,
During_COVID,WIN,Marcin Tybura,0,94,1,0,Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Ben Rothwell,0,89,0,0,,,,,,,,,
During_COVID,WIN,Dricus Du Plessis,1,26,0,0,Middleweight,KO/TKO,1,3:22,,,,,
During_COVID,,Markus Perez,0,14,0,0,,Punch,,,,,,,
During_COVID,WIN,Tom Aspinall,0,16,1,0,Heavyweight,KO/TKO,1,1:35,,,,,
During_COVID,,Alan Baudot,0,3,0,0,,Punches,,,,,,,
During_COVID,WIN,Ilia Topuria,0,13,5,5,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Youssef Zalal,0,17,0,1,,,,,,,,,
During_COVID,WIN,Tom Breese,1,17,0,0,Middleweight,KO/TKO,1,1:42,,,,,
During_COVID,,KB Bhullar,0,2,0,0,,Punch,,,,,,,
During_COVID,WIN,Chris Daukaus,2,13,0,0,Heavyweight,KO/TKO,1,0:45,,,,,
During_COVID,,Rodrigo Nascimento,0,1,0,0,,Punches,,,,,,,
During_COVID,WIN,Joaquin Buckley,1,29,1,0,Middleweight,KO/TKO,2,2:03,,,,,
During_COVID,,Impa Kasanganay,0,28,0,0,,Spinning Back Kick,,,,,,,
During_COVID,WIN,Tony Kelley,0,23,0,4,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Ali AlQaisi,0,29,5,1,,,,,,,,,
During_COVID,WIN,Giga Chikadze,1,65,0,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Omar Morales,0,34,0,0,,,,,,,,,
During_COVID,WIN,Tracy Cortez,0,20,3,0,Women's Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Stephanie Egger,0,10,1,0,,,,,,,,,
During_COVID,WIN,Tagir Ulanbekov,0,46,5,0,Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Bruno Silva,0,47,4,0,,,,,,,,,
During_COVID,WIN,Brian Ortega,2,127,3,0,Featherweight,U-DEC,5,5:00,,,,,
During_COVID,,Chan Sung Jung,0,62,0,0,,,,,,,,,
During_COVID,WIN,Jessica Andrade,1,28,2,0,Women's Flyweight,KO/TKO,1,4:55,,,,,
During_COVID,,Katlyn Chookagian,0,19,0,0,,Punch,,,,,,,
During_COVID,WIN,Jimmy Crute,2,17,0,0,Light Heavyweight,KO/TKO,1,2:01,,,,,
During_COVID,,Modestas Bukauskas,0,7,0,0,,Punches,,,,,,,
During_COVID,WIN,James Krause,0,94,0,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Claudio Silva,0,64,2,0,,,,,,,,,
During_COVID,WIN,Jonathan Martinez,0,73,0,0,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Thomas Almeida,0,64,0,0,,,,,,,,,
During_COVID,WIN,Guram Kutateladze,1,37,0,0,Lightweight,S-DEC,3,5:00,,,,,
During_COVID,,Mateusz Gamrot,0,52,5,0,,,,,,,,,
During_COVID,WIN,Gillian Robertson,0,57,3,0,Women's Flyweight,U-DEC,3,5:00,,,,,
During_COVID,,Poliana Botelho,0,22,0,0,,,,,,,,,
During_COVID,WIN,Junyong Park,0,10,4,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,John Phillips,0,5,0,0,,,,,,,,,
During_COVID,WIN,Fares Ziam,0,47,1,0,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Jamie Mullarkey,0,20,5,0,,,,,,,,,
During_COVID,WIN,Maxim Grishin,0,34,1,0,Light Heavyweight,KO/TKO,2,4:58,,,,,
During_COVID,,Gadzhimurad Antigulov,0,12,1,0,,Punches,,,,,,,
During_COVID,WIN,Said Nurmagomedov,0,18,0,0,Bantamweight,KO/TKO,1,0:51,,,,,
During_COVID,,Mark Striegl,0,3,0,0,,Punches,,,,,,,
During_COVID,WIN,Khabib Nurmagomedov,0,26,2,1,Lightweight,SUB,2,1:34,,,,,
During_COVID,,Justin Gaethje,0,29,0,0,,Triangle Choke,,,,,,,
During_COVID,WIN,Robert Whittaker,1,69,0,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Jared Cannonier,0,53,0,0,,,,,,,,,
During_COVID,WIN,Alexander Volkov,0,45,0,0,Heavyweight,KO/TKO,2,1:15,,,,,
During_COVID,,Walt Harris,0,16,0,0,,Kick,,,,,,,
During_COVID,WIN,Phillip Hawes,1,7,0,0,Middleweight,KO/TKO,1,0:18,,,,,
During_COVID,,Jacob Malkoun,0,0,0,0,,Punches,,,,,,,
During_COVID,WIN,Lauren Murphy,0,22,1,1,Women's Flyweight,SUB,2,3:31,,,,,
During_COVID,,Liliya Shakirova,0,23,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Magomed Ankalaev,2,21,0,0,Light Heavyweight,KO/TKO,1,4:19,,,,,
During_COVID,,Ion Cutelaba,0,11,0,0,,Punch,,,,,,,
During_COVID,WIN,Tai Tuivasa,1,27,0,0,Heavyweight,KO/TKO,1,4:59,,,,,
During_COVID,,Stefan Struve,0,13,0,0,,Punches,,,,,,,
During_COVID,WIN,Casey Kenney,0,123,2,0,Catch Weight,U-DEC,3,5:00,,,,,
During_COVID,,Nathaniel Wood,0,136,0,0,,,,,,,,,
During_COVID,WIN,Shavkat Rakhmonov,0,13,0,1,Welterweight,SUB,1,4:40,,,,,
During_COVID,,Alex Oliveira,0,9,0,0,,Guillotine Choke,,,,,,,
During_COVID,DRAW,Da-Un Jung,1,56,0,0,Light Heavyweight,S-DEC,3,5:00,,,,,
During_COVID,DRAW,Sam Alvey,0,59,0,0,,,,,,,,,
During_COVID,WIN,Miranda Maverick,0,49,0,0,Women's Flyweight,KO/TKO,1,5:00,,,,,
During_COVID,,Liana Jojua,0,30,0,0,,,,,,,,,
During_COVID,WIN,Joel Alvarez,0,4,0,2,Lightweight,SUB,1,3:00,,,,,
During_COVID,,Alexander Yakovlev,0,1,1,0,,Armbar,,,,,,,
During_COVID,WIN,Uriah Hall,2,60,0,0,Middleweight,KO/TKO,4,1:24,,,,,
During_COVID,,Anderson Silva,0,53,0,0,,Punches,,,,,,,
During_COVID,WIN,Bryce Mitchell,0,46,7,1,Featherweight,U-DEC,3,5:00,,,,,
During_COVID,,Andre Fili,0,27,0,0,,,,,,,,,
During_COVID,WIN,Greg Hardy,1,46,1,0,Heavyweight,KO/TKO,2,1:12,,,,,
During_COVID,,Maurice Greene,0,17,0,0,,Punches,,,,,,,
During_COVID,WIN,Kevin Holland,0,11,2,0,Middleweight,SUB,1,2:39,,,,,
During_COVID,,Charlie Ontiveros,0,2,0,0,,Injury,,,,,,,
During_COVID,WIN,Thiago Moises,0,42,2,1,Lightweight,U-DEC,3,5:00,,,,,
During_COVID,,Bobby Green,0,85,2,0,,,,,,,,,
During_COVID,WIN,Alexander Hernandez,1,29,0,0,Lightweight,KO/TKO,1,1:46,,,,,
During_COVID,,Chris Gruetzemacher,0,8,0,0,,Punches,,,,,,,
During_COVID,WIN,Adrian Yanez,1,17,0,0,Bantamweight,KO/TKO,1,2:46,,,,,
During_COVID,,Victor Rodriguez,0,6,0,0,,Kick,,,,,,,
During_COVID,WIN,Sean Strickland,0,106,0,0,Middleweight,U-DEC,3,5:00,,,,,
During_COVID,,Jack Marshman,0,48,0,0,,,,,,,,,
During_COVID,WIN,Jason Witt,0,20,2,1,Welterweight,SUB,2,2:09,,,,,
During_COVID,,Cole Williams,0,1,0,0,,Arm Triangle,,,,,,,
During_COVID,WIN,Dustin Jacoby,2,22,0,0,Light Heavyweight,KO/TKO,1,2:38,,,,,
During_COVID,,Justin Ledet,0,10,0,0,,Punch,,,,,,,
During_COVID,WIN,Miles Johns,1,48,0,0,Bantamweight,KO/TKO,3,2:51,,,,,
During_COVID,,Kevin Natividad,0,33,0,0,,Punch,,,,,,,
During_COVID,WIN,Glover Teixeira,0,46,4,2,Light Heavyweight,SUB,3,1:49,,,,,
During_COVID,,Thiago Santos,1,40,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Andrei Arlovski,0,34,0,0,Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Tanner Boser,0,68,0,0,,,,,,,,,
During_COVID,WIN,Raoni Barcelos,0,120,2,1,Bantamweight,U-DEC,3,5:00,,,,,
During_COVID,,Khalid Taha,0,49,0,0,,,,,,,,,
During_COVID,WIN,Giga Chikadze,1,8,0,0,Featherweight,KO/TKO,1,3:51,,,,,
During_COVID,,Jamey Simmons,0,2,0,0,,Kick,,,,,,,
During_COVID,WIN,Yan Xiaonan,0,74,0,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Claudia Gadelha,0,36,2,0,,,,,,,,,
During_COVID,WIN,Trevin Giles,2,38,1,0,Middleweight,KO/TKO,3,1:26,,,,,
During_COVID,,Bevon Lewis,0,26,0,0,,Punches,,,,,,,
During_COVID,WIN,Alexandr Romanov,0,6,2,1,Heavyweight,SUB,1,4:48,,,,,
During_COVID,,Marcos Rogerio de Lima,0,18,0,0,,Forearm Choke,,,,,,,
During_COVID,WIN,Darren Elkins,0,32,7,1,Featherweight,SUB,3,2:22,,,,,
During_COVID,,Eduardo Garagorri,0,36,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Max Griffin,0,74,0,0,Welterweight,KO/TKO,3,2:03,,,,,
During_COVID,,Ramiz Brahimaj,0,45,0,0,,Elbow,,,,,,,
During_COVID,WIN,Gustavo Lopez,0,26,2,1,Bantamweight,SUB,1,2:43,,,,,
During_COVID,,Anthony Birchak,0,17,0,0,,Rear Naked Choke,,,,,,,
During_COVID,WIN,Rafael Dos Anjos,0,92,6,0,Lightweight,S-DEC,5,5:00,,,,,
During_COVID,,Paul Felder,0,98,1,0,,,,,,,,,
During_COVID,WIN,Khaos Williams,1,5,0,0,Welterweight,KO/TKO,1,0:30,,,,,
During_COVID,,Abdul Razak Alhassan,0,2,0,0,,Punch,,,,,,,
During_COVID,WIN,Ashley Yoder,0,26,2,3,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Miranda Granger,0,33,0,0,,,,,,,,,
During_COVID,WIN,Sean Strickland,1,94,1,0,Catch Weight,KO/TKO,2,1:32,,,,,
During_COVID,,Brendan Allen,0,51,0,0,,Punches,,,,,,,
During_COVID,WIN,Cory McKenna,0,57,0,0,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Kay Hansen,0,67,2,2,,,,,,,,,
During_COVID,WIN,Kanako Murata,0,29,4,2,Women's Strawweight,U-DEC,3,5:00,,,,,
During_COVID,,Randa Markos,0,29,0,0,,,,,,,,,
During_COVID,WIN,Tony Gravely,0,49,7,0,Bantamweight,S-DEC,3,5:00,,,,,
During_COVID,,Geraldo de Freitas,0,76,1,0,,,,,,,,,
During_COVID,WIN,Alex Morono,0,176,3,0,Welterweight,U-DEC,3,5:00,,,,,
During_COVID,,Rhys McKee,0,124,0,0,,,,,,,,,
During_COVID,WIN,Don'Tale Mayes,0,59,1,0,Heavyweight,U-DEC,3,5:00,,,,,
During_COVID,,Roque Martinez,0,58,1,0,,,,,,,,,